symbol,entry_time,entry_price,exit_reason,bars_held,gross_r,net_r,mfe_r,mae_r,reached_025r,reached_050r,reached_100r
ADANIENT,2024-03-20T10:03:00+05:30,2932.7,TIME_HORIZON,40,2.3428445661206583,2.162844566120658,3.578454371540398,0.6097814624149069,True,True,True
ADANIENT,2024-04-04T15:02:00+05:30,3114.6,STOP_LOSS,7,-2.0,-2.18,0.8963734541763225,1.2591912808666763,True,True,False
ADANIENT,2024-04-08T09:47:00+05:30,3102.2,TIME_HORIZON,40,1.7797771252338581,1.5997771252338582,2.132024681269645,0.33370821098128517,True,True,True
ADANIENT,2024-04-09T12:41:00+05:30,3098.5,TIME_HORIZON,40,1.8209872124634343,1.6409872124634344,2.941594727825458,0.04669197980671117,True,True,True
ADANIENT,2024-04-09T14:14:00+05:30,3091.1,STOP_LOSS,2,-2.0,-2.18,0.42709319956183817,1.2812795986855146,True,False,False
ADANIENT,2024-04-12T12:42:00+05:30,3110.5,TIME_HORIZON,40,5.022480645085084,4.842480645085084,2.741437352108923,0.10463501343927258,True,True,True
ADANIENT,2024-04-15T09:16:00+05:30,3065.9,STOP_LOSS,1,-2.0,-2.18,0.20128736372250122,1.2809195873251138,False,False,False
ADANIENT,2024-04-16T09:16:00+05:30,3022.3,VWAP_Z_TARGET,8,6.758520752294423,6.578520752294423,3.8336147124359563,0.3407657522165424,True,True,True
ADANIENT,2024-04-16T10:16:00+05:30,3025.9,STOP_LOSS,6,-2.0,-2.18,0.8010491248337284,1.201573687250643,True,True,False
ADANIENT,2024-04-18T14:35:00+05:30,2979.5,STOP_LOSS,1,-2.0,-2.18,0.37846667019567687,1.0917307794106446,True,False,False
ADANIENT,2024-04-18T15:03:00+05:30,2921.0,STOP_LOSS,28,-2.0,-2.18,2.9026984069826947,4.517382729838042,True,True,True
ADANIENT,2024-04-24T14:37:00+05:30,2954.6,STOP_LOSS,2,-2.0,-2.18,0.0,1.7653214323484163,False,False,False
ADANIENT,2024-04-24T15:04:00+05:30,2948.3,STOP_LOSS,33,-2.0,-2.18,3.493453110476586,1.275869831652401,True,True,True
ADANIENT,2024-04-26T14:34:00+05:30,2977.3,TIME_HORIZON,40,4.630668610970947,4.450668610970947,3.4730014582283006,0.7584715828315202,True,True,True
ADANIENT,2024-04-29T09:51:00+05:30,2970.2,STOP_LOSS,15,-2.0,-2.18,1.8242409477964736,1.4507742970664426,True,True,True
ADANIENT,2024-04-30T15:04:00+05:30,2969.5,STOP_LOSS,1,-2.0,-2.18,0.4496746980765606,1.3881262418883855,True,False,False
ADANIENT,2024-04-30T15:22:00+05:30,2956.3,VWAP_Z_TARGET,9,11.47239896651468,11.29239896651468,7.115285770172894,0.3197881245022261,True,True,True
ADANIENT,2024-05-02T14:54:00+05:30,2949.9,STOP_LOSS,1,-2.0,-2.18,0.11777654868695629,1.5134286506274044,False,False,False
ADANIENT,2024-05-02T15:16:00+05:30,2931.5,STOP_LOSS,21,-2.0,-2.18,2.1747090722702054,1.361832380208057,True,True,True
ADANIENT,2024-05-06T09:17:00+05:30,2880.3,STOP_LOSS,3,-2.0,-2.18,1.6473094915439128,1.7510770185703262,True,True,True
ADANIENT,2024-05-06T09:42:00+05:30,2772.5,TIME_HORIZON,40,1.6332525530109387,1.4532525530109388,2.5406150824614935,0.4788857794322251,True,True,True
ADANIENT,2024-05-07T11:18:00+05:30,2755.5,STOP_LOSS,6,-2.0,-2.18,1.0788401214244974,1.9842952233344104,True,True,True
ADANIENT,2024-05-09T12:52:00+05:30,2738.0,STOP_LOSS,2,-2.0,-2.18,0.3599385796730226,1.6938286102261702,True,False,False
